time,CTAH_Tin,CTAH_Tout,heater_Tin,heater_Tout,m_dot_in,m_dot_out,Branch-to-tank:pressure,Branch-to-tank:rho,Branch-to-tank:temperature,Branch-to-tank:velocity,Pump_p:pressure,Pump_p:pump_head,Pump_p:rho,Pump_p:temperature,Pump_p:velocity,SNJ-16-to-17a:pressure,SNJ-16-to-17a:rho,SNJ-16-to-17a:temperature,SNJ-16-to-17a:velocity,SNJ-17a-to-18:pressure,SNJ-17a-to-18:rho,SNJ-17a-to-18:temperature,SNJ-17a-to-18:velocity,SNJ-4-to-5b:pressure,SNJ-4-to-5b:rho,SNJ-4-to-5b:temperature,SNJ-4-to-5b:velocity,SNJ-500:pressure,SNJ-500:rho,SNJ-500:temperature,SNJ-500:velocity,SNJ-501:pressure,SNJ-501:rho,SNJ-501:temperature,SNJ-501:velocity,SNJ-502:pressure,SNJ-502:rho,SNJ-502:temperature,SNJ-502:velocity,SNJ-503:pressure,SNJ-503:rho,SNJ-503:temperature,SNJ-503:velocity,SNJ-504:pressure,SNJ-504:rho,SNJ-504:temperature,SNJ-504:velocity,SNJ-505:pressure,SNJ-505:rho,SNJ-505:temperature,SNJ-505:velocity,SNJ-506:pressure,SNJ-506:rho,SNJ-506:temperature,SNJ-506:velocity,SNJ-507:pressure,SNJ-507:rho,SNJ-507:temperature,SNJ-507:velocity,SNJ-508:pressure,SNJ-508:rho,SNJ-508:temperature,SNJ-508:velocity,SNJ-509:pressure,SNJ-509:rho,SNJ-509:temperature,SNJ-509:velocity,SNJ-510:pressure,SNJ-510:rho,SNJ-510:temperature,SNJ-510:velocity,SNJ-511:pressure,SNJ-511:rho,SNJ-511:temperature,SNJ-511:velocity,SNJ-512:pressure,SNJ-512:rho,SNJ-512:temperature,SNJ-512:velocity,SNJ-513:pressure,SNJ-513:rho,SNJ-513:temperature,SNJ-513:velocity,SNJ-514:pressure,SNJ-514:rho,SNJ-514:temperature,SNJ-514:velocity,SNJ-516:pressure,SNJ-516:rho,SNJ-516:temperature,SNJ-516:velocity,SNJ-517:pressure,SNJ-517:rho,SNJ-517:temperature,SNJ-517:velocity,SNJ-518:pressure,SNJ-518:rho,SNJ-518:temperature,SNJ-518:velocity,SNJ-519:pressure,SNJ-519:rho,SNJ-519:temperature,SNJ-519:velocity,SNJ-520:pressure,SNJ-520:rho,SNJ-520:temperature,SNJ-520:velocity
598.95077884109,360.13613553164,353.10000002537,352.41630559671,360.37935786073,0.18001486791042,0.18001490765272,108162.72647737,1004.026625708,360.17749916704,0.29403110222516,153165.37490978,13576.613846286,1010.3614573495,352.72475605946,0.2921869997325,149822.04637757,1010.5658999806,352.484235317,0.29212811662612,149801.72483173,1010.5894699066,352.45650599228,0.29212131503249,108182.47666099,1003.9994593285,360.20945961352,0.29403900873615,148053.54334393,1010.6237518618,352.4161742802,0.48986845429099,130624.2260992,1003.8550448996,360.37935894163,0.49317160606461,129220.94834177,1003.8550988093,360.37929551848,0.49317156236479,126885.84849582,1003.8658859772,360.36660473272,0.29407794310465,123557.8644621,1003.8896736186,360.33861927218,0.29407103763517,110113.08296849,1003.982067192,360.22992095054,0.29404409110177,106043.68553608,1004.0377446013,360.16441811613,0.29402734668638,103279.7907293,1004.0618881108,360.13601398734,0.2940203080387,102610.61217972,1010.0552713999,353.08497482363,0.13400204053223,102542.53060625,1010.0425002449,353.09999971185,0.29227940643697,103803.90270801,1010.0583717774,353.08132732066,0.29227483915419,107073.8047776,1010.0817712235,353.05379856054,0.29226801380487,111783.31573035,1010.1324766306,352.99414514042,0.29225337367757,135923.46135208,1010.306716923,352.78915656116,0.29220297957879,139606.64962647,1010.3409416223,352.74889220909,0.29219308015667,152071.52035836,1010.4400603475,352.63228194409,0.2921644291582,145303.56058155,1010.4814615352,352.58357466444,0.29215249917913,140927.3869213,1010.5036664347,352.5574512533,0.29214603604418,143549.11003225,1010.5258226615,352.53138510415,0.29213968700219,150703.29821812,1010.6236402461,352.41630559288,0.29211145480228
604.70676486964,360.13713174901,353.09999996048,352.41670908957,360.37981655864,0.18001492996218,0.18001496648826,108162.7900291,1004.0258576661,360.17840274572,0.29403140070972,153165.43530706,13576.613846286,1010.3614274469,352.72479123892,0.29218711904378,149822.10449804,1010.5656359715,352.48454591589,0.29212829574036,149801.78299005,1010.5891636654,352.45686627595,0.29212150171971,108182.5401794,1003.9987561212,360.21028691629,0.29403929561012,148053.60001737,1010.6234095394,352.41657701243,0.4898687891256,130624.28131844,1003.8546553753,360.37981720557,0.49317195824594,129221.0034435,1003.8547081137,360.37975516031,0.49317191641388,126885.90341346,1003.8654716492,360.36709217746,0.29407815713599,123557.92071915,1003.8892235016,360.33914882161,0.29407126555982,110113.14536355,1003.9814030679,360.23070227306,0.29404436771746,106043.74876468,1004.0369835048,360.1653135238,0.29402769102692,103279.85562031,1004.0610652771,360.13698202698,0.29402068175631,102610.67416034,1010.055274219,353.08497150704,0.13400209121295,102542.59254375,1010.0425002653,353.09999968792,0.29227951822807,103803.96394275,1010.0583784234,353.08131950192,0.29227495473918,107073.86600737,1010.0817539421,353.0538188917,0.29226812079968,111783.37684455,1010.132498089,352.99411989532,0.29225348906378,135923.5223099,1010.3067038175,352.78917197946,0.29220309361794,139606.71004729,1010.3409235813,352.74891343374,0.29219319449697,152071.57983562,1010.4399546057,352.63240634629,0.29216456632464,145303.6208147,1010.481317827,352.58374373292,0.29215265259841,140927.44709963,1010.5034764659,352.55767474599,0.29214619026259,143549.16965745,1010.5256388402,352.53160136447,0.29213985332125,150703.3557894,1010.6233060074,352.41669881477,0.29211165452616
610.47147208914,360.13809562453,353.10000033683,352.41710193741,360.38025086145,0.18001499157862,0.18001502668908,108162.85300871,1004.025130089,360.1792587188,0.29403170599831,153165.49571748,13576.613846286,1010.3613994546,352.72482417108,0.29218723007734,149822.16275245,1010.5653934195,352.48483127123,0.29212846850067,149801.84119894,1010.5888862875,352.45719260297,0.29212168409805,108182.60314757,1003.9980932036,360.2110668193,0.29403958202608,148053.65673386,1010.6230756302,352.4169698468,0.48986911867399,130624.33651143,1003.8542856371,360.38025219163,0.49317230484294,129221.05851129,1003.8543351135,360.38019398415,0.49317226135895,126885.95827011,1003.8650922039,360.36753858363,0.29407837404238,123557.97678738,1003.8887618692,360.33969191858,0.29407148950631,110113.20730078,1003.9807770008,360.23143882264,0.29404464472052,106043.81154463,1004.0362129635,360.16622004294,0.29402801963672,103279.92007,1004.0602250719,360.1379705037,0.29402102313659,102610.73591681,1010.0552766565,353.08496863946,0.13400213857499,102542.65424873,1010.0424998927,353.10000012629,0.29227962204043,103804.02497757,1010.0583679382,353.08133183742,0.29227505343732,107073.92702233,1010.0817766154,353.05379221717,0.29226822675987,111783.43786393,1010.132480364,352.99414074825,0.29225359071046,135923.58320817,1010.3066924236,352.78918538401,0.29220319997778,139606.77045976,1010.340909831,352.74892961057,0.2921933014349,152071.63941093,1010.4398551977,352.63252329681,0.29216469978266,145303.6810761,1010.4811628521,352.58392605639,0.29215279227068,140927.50732103,1010.5033267269,352.55785090954,0.29214634371242,143549.22938371,1010.5254246809,352.53185331664,0.29214000848027,150703.41343581,1010.6229760117,352.41708704509,0.29211184905601
616.24491371352,360.13902420864,353.10000008169,352.41748092739,360.38066490468,0.18001504979043,0.18001508389219,108162.91546291,1004.0244136776,360.18010155572,0.29403199695745,153165.55551441,13576.613846286,1010.3613719621,352.72485651523,0.29218733714972,149822.22036412,1010.5651501149,352.48511751186,0.29212863428353,149801.89884071,1010.5886106993,352.4575168243,0.29212185946375,108182.66557533,1003.9974546544,360.21181805362,0.29403985874677,148053.71300575,1010.6227526594,352.41734981243,0.48986943350991,130624.39139967,1003.8539335411,360.38066642223,0.4931726347133,129221.11327493,1003.8539794338,360.3806124308,0.4931725928495,126886.01284724,1003.864717351,360.36797958708,0.29407857987823,123558.03255901,1003.8883326751,360.34019685278,0.29407170565263,110113.26871794,1003.9801739411,360.2321483046,0.29404490817424,106043.87377416,1004.0354830039,360.16707881891,0.29402833336527,103279.98390975,1004.0594500519,360.13888229188,0.29402135266412,102610.7972011,1010.0552792441,353.08496559516,0.13400218342817,102542.71548694,1010.0425002037,353.09999976038,0.29227972073687,103804.08561779,1010.0583624677,353.0813382733,0.29227515047468,107073.98764843,1010.0817790729,353.05378932604,0.29226832681988,111783.49850216,1010.1324787097,352.99414269451,0.29225368882454,135923.64349262,1010.3066833071,352.78919610925,0.29220330177243,139606.83025998,1010.3408961958,352.74894565205,0.29219340388298,152071.69837132,1010.4397609858,352.63263413432,0.29216482626221,145303.74069157,1010.4810227925,352.5840908323,0.29215292887601,140927.5669322,1010.5031650417,352.55804112739,0.29214648894278,143549.28849164,1010.5252350302,352.53207643504,0.29214015965427,150703.47052271,1010.6226585361,352.41746054576,0.29211203508087
622.02710297672,360.13991105895,353.09999958232,352.41783040204,360.3810592615,0.18001510261121,0.18001513405042,108162.97744925,1004.0237763779,360.18085132017,0.29403225619974,153165.6148156,13576.613846286,1010.3613501937,352.72488212509,0.29218743865694,149822.27769182,1010.5649217466,352.48538618049,0.29212878707611,149801.95618398,1010.5883555099,352.45781704721,0.29212201994594,108182.72752494,1003.9968641696,360.21251274162,0.29404009996825,148053.76904642,1010.6224566335,352.41769807819,0.48986972086059,130624.44616723,1003.8535988681,360.38106015513,0.49317293629261,129221.16797187,1003.8536438498,360.38100723556,0.49317289845046,126886.0674059,1003.8643523111,360.36840904571,0.29407876396845,123558.08826557,1003.8879462731,360.34065144345,0.29407190149049,110113.32970429,1003.9796017707,360.23282144618,0.29404514373919,106043.93549033,1004.0347837932,360.16790141973,0.29402864030758,103280.0471563,1004.0586629557,360.13980828741,0.29402167273705,102610.85787489,1010.0552814179,353.0849630378,0.13400222726159,102542.77611994,1010.0425004682,353.09999944918,0.29227981667587,103804.14561957,1010.0583704431,353.08132889044,0.2922752466001,107074.04766849,1010.0817817067,353.05378622745,0.29226842275627,111783.55845935,1010.1324803704,352.99414074071,0.29225378423102,135923.70321508,1010.3066741586,352.78920687229,0.29220339945056,139606.889588,1010.3408880681,352.74895521395,0.29219350200654,152071.75690156,1010.4396736993,352.63273682437,0.29216494338064,145303.79983971,1010.4809034791,352.584231201,0.29215305800073,140927.6260301,1010.5030160231,352.55821644345,0.29214662251587,143549.3471467,1010.5250657961,352.53227553405,0.29214030100089,150703.52736114,1010.6223674464,352.41780300429,0.29211220593158
627.81805313274,360.14073224424,353.10000000491,352.41817271917,360.38143432032,0.18001515680065,0.18001518732971,108163.03902589,1004.023134251,360.18160676359,0.29403252093948,153165.67421027,13576.613846286,1010.3613239635,352.72491298417,0.29218753614223,149822.33519098,1010.564709572,352.48563579761,0.2921289379559,149802.0136912,1010.5881099744,352.45810591246,0.29212218039766,108182.789088,1003.9962585119,360.21322528009,0.29404035078865,148053.82525424,1010.6221643542,352.41804193623,0.48987000987068,130624.50115563,1003.8532800348,360.3814352532,0.49317323894503,129221.22283171,1003.8533227059,360.38138505186,0.49317320643648,126886.12206619,1003.8639984444,360.36882535958,0.29407894867063,123558.1440444,1003.8875772354,360.34108560538,0.29407209739306,110113.39036383,1003.9790658833,360.23345190204,0.2940453863781,106043.99684713,1004.0341490411,360.16864818697,0.29402892164365,103280.10991182,1004.0579799527,360.14061182036,0.29402197460515,102610.91829308,1010.0552838726,353.08496014993,0.13400226814848,102542.83649359,1010.0425002006,353.09999976401,0.29227990684468,103804.20542405,1010.0583677849,353.08133201777,0.29227533782618,107074.10746586,1010.0817763251,353.05379255875,0.29226851127789,111783.61823072,1010.1324889191,352.99413068337,0.29225387625988,135923.7629886,1010.3066642433,352.78921853733,0.29220349191315,139606.9489704,1010.3408742976,352.74897141453,0.29219359509346,152071.81555456,1010.4395890494,352.63283641251,0.29216505821877,145303.85908212,1010.4807783237,352.58437844271,0.2921531834548,140927.68524611,1010.5028700328,352.5583881967,0.29214675409298,143549.40588956,1010.5248989752,352.53247179383,0.29214043918928,150703.58438188,1010.6220788904,352.41814248191,0.29211237644354
633.61777745567,360.14153064211,353.10000018177,352.41848670281,360.3817893393,0.180015204827,0.18001523310401,108163.10018022,1004.0225408447,360.18230488854,0.29403275923486,153165.73303852,13576.613846286,1010.3613048463,352.72493547496,0.29218762582369,149822.39221815,1010.56450971,352.48587092936,0.29212907633295,149802.0706889,1010.5878808762,352.45837543979,0.29212232473899,108182.85022641,1003.9957465248,360.21382761784,0.2940405757438,148053.88110277,1010.6218971771,352.41835626227,0.48987027010345,130624.55579463,1003.8529784565,360.38179005123,0.49317351261209,129221.2773932,1003.8530183469,360.38174312131,0.49317347892654,126886.17649308,1003.8636872878,360.3691914261,0.29407911887798,123558.19949001,1003.8872031028,360.34152576142,0.29407227675388,110113.45063373,1003.978551495,360.23405706471,0.29404560131495,106044.05780888,1004.0335103036,360.16939964288,0.29402919107872,103280.1722683,1004.0572973954,360.14141482899,0.29402225492571,102610.97842496,1010.0552859648,353.08495768852,0.13400230676173,102542.89659059,1010.042500173,353.09999979642,0.29227999164249,103804.26497321,1010.0583671294,353.08133278896,0.29227542029978,107074.1670143,1010.081787567,353.05377933296,0.29226859691575,111783.67771782,1010.1324811172,352.9941398621,0.29225395974925,135923.82226034,1010.306656507,352.78922763883,0.29220357805623,139607.00781085,1010.3408663906,352.74898071697,0.29219368153244,152071.87369208,1010.4395097481,352.63292970807,0.29216516399198,145303.91778932,1010.4806621571,352.58451510924,0.29215329685599,140927.74392424,1010.5027435717,352.5585369745,0.29214687566726,143549.46414898,1010.5247351283,352.53266455497,0.2921405639107,150703.64092958,1010.6218174873,352.41845001494,0.29211253115588
639.4262892397,360.14228950173,353.10000046577,352.41879621465,360.38212670134,0.18001525330507,0.18001528074588,108163.16096957,1004.0219737629,360.18297204363,0.29403299959328,153165.79172728,13576.613846286,1010.3612827051,352.72496152341,0.29218771306466,149822.44921002,1010.564307639,352.48610865997,0.29212921086305,149802.12769727,1010.587663244,352.45863147769,0.29212246932505,108182.91100115,1003.9952161317,360.21445160981,0.29404080096237,148053.93695708,1010.6216345651,352.4186652175,0.4898705293796,130624.61048148,1003.852691303,360.3821278788,0.49317378420038,129221.33197587,1003.8527288914,360.38208365718,0.49317375185667,126886.23090223,1003.8633819438,360.36955065437,0.29407928839899,123558.25486083,1003.8868518568,360.34193899202,0.29407245124389,110113.51060284,1003.9780664128,360.23462774965,0.29404581942333,106044.11838793,1004.032917938,360.17009654357,0.29402944975012,103280.23414168,1004.0566546455,360.14217100531,0.29402252675835,102611.03815054,1010.0552880999,353.08495517656,0.13400234394042,102542.95627488,1010.042500023,353.09999997297,0.29228007335444,103804.32413929,1010.0583704491,353.08132888341,0.29227550325666,107074.22618234,1010.0817826319,353.05378513898,0.29226867730995,111783.73686997,1010.1324899011,352.99412952808,0.2922540440888,135923.88133991,1010.3066490707,352.78923638744,0.29220366104002,139607.06651964,1010.3408600269,352.74898820369,0.29219376597606,152071.93168583,1010.4394349652,352.63301768802,0.29216526736916,145303.97631412,1010.4805516537,352.58464511332,0.29215340977682,140927.80239588,1010.5026114505,352.55869241113,0.2921469935452,143549.52227755,1010.5245887542,352.53283675978,0.29214068987495,150703.69750037,1010.6215578751,352.41875544102,0.29211268383456
645.24360179915,360.14299305674,353.10000034724,352.41907656773,360.38244616526,0.18001529722361,0.18001532231439,108163.22143371,1004.0214479085,360.18359069586,0.29403320847632,153165.85002204,13576.613846286,1010.3612695184,352.72497703719,0.29218779677726,149822.50592767,1010.5641258298,352.48632255319,0.29212933651445,149802.1844062,1010.5874537114,352.45887798655,0.29212260027961,108182.97145055,1003.9947390863,360.21501283962,0.29404100015338,148053.99259142,1010.6213970191,352.41894468337,0.48987076398013,130624.66507742,1003.8524198974,360.38244717948,0.4931740314064,129221.38649138,1003.8524554664,360.38240533366,0.49317399698209,126886.28531136,1003.8631059484,360.36987535478,0.29407943989124,123558.31015639,1003.8865296682,360.34231803746,0.29407261130121,110113.57025346,1003.9775934562,360.23518416914,0.2940460122322,106044.17864094,1004.0323726147,360.17073810033,0.29402969725933,103280.29558206,1004.0560359385,360.14289889588,0.29402279022774,102611.09748761,1010.0552901729,353.08495273775,0.13400238028863,102543.01556923,1010.0425000057,353.09999999334,0.29228015320269,103804.38292631,1010.0583715904,353.08132754068,0.29227558219597,107074.28496859,1010.0817892557,353.05377734628,0.29226875596594,111783.79561367,1010.1324928215,352.99412609231,0.29225412340469,135923.93999001,1010.3066435898,352.78924283547,0.29220374154099,139607.12483067,1010.3408523918,352.74899718607,0.29219384603036,152071.98936239,1010.4393635842,352.63310166561,0.29216536432872,145304.03448594,1010.4804506605,352.58476392884,0.29215351544235,140927.86052142,1010.5024934721,352.55883120931,0.29214710319271,143549.58002275,1010.5244539017,352.53299540982,0.29214080546311,150703.75377957,1010.6213259365,352.41902830995,0.29211282390086
651.06972846854,360.14366626175,353.10000004276,352.41934887496,360.38274690233,0.18001534029123,0.18001536450561,108163.28159841,1004.0209264089,360.18420422482,0.29403341942314,153165.9084621,13576.613846286,1010.3612527246,352.72499679459,0.29218787360263,149822.56278287,1010.5639609848,352.48651648843,0.29212945796862,149802.24126096,1010.5872552904,352.45911142305,0.2921227273879,108183.03160837,1003.9942713875,360.2155630735,0.29404120093104,148054.04842437,1010.6211652249,352.41921738244,0.48987099354237,130624.71984218,1003.8521647043,360.38274740671,0.49317427227588,129221.44116805,1003.8521991069,360.38270693301,0.49317424156132,126886.33983019,1003.8628240995,360.37020694171,0.2940795877511,123558.36557622,1003.8862323739,360.34266779542,0.2940727687986,110113.62967751,1003.9771527285,360.23570267231,0.29404620342514,106044.23863605,1004.0318405389,360.17136407194,0.29402992320999,103280.35674287,1004.0554776321,360.14355572693,0.29402302771371,102611.15679879,1010.0552920603,353.08495051734,0.13400241262342,102543.07485091,1010.0425001942,353.09999977158,0.29228022430864,103804.44175659,1010.0583699951,353.08132941756,0.2922756520549,107074.34379548,1010.0817952223,353.05377032669,0.29226882838383,111783.85446945,1010.1324888216,352.9941307981,0.29225419338085,135923.99874039,1010.3066401032,352.78924693744,0.29220381478555,139607.18326412,1010.3408468562,352.74900369863,0.29219391970752,152072.04720227,1010.4392978921,352.63317895053,0.29216545549564,145304.09277166,1010.480351509,352.58488057769,0.29215361384903,140927.91879051,1010.5023835424,352.55896053839,0.29214720946179,143549.63795823,1010.5243100797,352.53316461216,0.2921409133405,150703.81023813,1010.6210965339,352.41929819544,0.29211295993759
656.90468260259,360.14420738931,353.09999973988,352.4195900948,360.38302932085,0.18001537971898,0.18001540136517,108163.34148953,1004.0204417832,360.18477437266,0.29403359661129,153165.96619867,13576.613846286,1010.3612430529,352.72500817307,0.29218794968657,149822.6192524,1010.5637940685,352.48671286061,0.29212957168887,149802.29772337,1010.5870505573,352.45935228553,0.29212284205461,108183.09147854,1003.9938192014,360.21609505714,0.29404138626501,148054.10393599,1010.6209609571,352.4194576975,0.48987119996019,130624.77444794,1003.8519238658,360.38303074613,0.49317449195192,129221.49569977,1003.851953919,360.38299538936,0.49317443960625,126886.39428271,1003.8626562148,360.37040445323,0.29407972832661,123558.42062088,1003.8858931517,360.3430668804,0.29407289945627,110113.68884984,1003.9767386635,360.23618980766,0.29404638465968,106044.29829785,1004.0314683082,360.17180199033,0.29403012815797,103280.41721692,1004.0550497942,360.1440590656,0.29402327716395,102611.21540598,1010.0552945836,353.08494754869,0.1340024465774,102543.13342662,1010.0425004095,353.09999951821,0.29228029978883,103804.4998685,1010.0583552496,353.08134676515,0.29227572746549,107074.40186782,1010.0817854809,353.05378178713,0.29226889547679,111783.91244633,1010.1325227443,352.99409088902,0.29225427024418,135924.05683808,1010.3066344888,352.78925354263,0.29220388814535,139607.24103607,1010.340827315,352.74902668826,0.29219399028737,152072.10435095,1010.4392340741,352.63325403042,0.29216554580544,145304.15038904,1010.4802470663,352.58500345146,0.29215371155556,140927.97639568,1010.5022653603,352.55909957615,0.29214730506222,143549.69520703,1010.5242204263,352.53327008671,0.29214101893713,150703.86631186,1010.6208995995,352.41952988296,0.29211308549848
662.74847757623,360.14487884346,353.09999966219,352.41984322577,360.38329802638,0.18001542068461,0.18001544286981,108163.40110016,1004.0199964618,360.18529828022,0.29403380482481,153166.02447448,13576.613846286,1010.3612248483,352.72502959027,0.29218801896089,149822.67606416,1010.5636455727,352.48688756148,0.29212968063749,149802.354545,1010.5868970336,352.45953290159,0.29212296154428,108183.1510787,1003.9934272618,360.21655616261,0.29404156505794,148054.15981677,1010.6207451092,352.41971163628,0.48987141599144,130624.82931417,1003.8516966592,360.38329804802,0.49317471709663,129221.55047656,1003.8517269163,360.38326245139,0.49317468166951,126886.44886834,1003.8623512463,360.37076323965,0.29407986414735,123558.47606983,1003.8856735784,360.34332520187,0.29407305587575,110113.74777112,1003.9763284896,360.23667236521,0.29404655617448,106044.35784984,1004.030855797,360.17252259173,0.2940303447587,103280.47806748,1004.0544327905,360.14478495241,0.294023466937,102611.27446965,1010.0552956794,353.08494625958,0.1340024761008,102543.19246593,1010.0425003174,353.09999962656,0.29228036364883,103804.55848846,1010.0583692302,353.08133031742,0.29227578855399,107074.46051694,1010.0818057819,353.05375790362,0.29226896627158,111783.97114694,1010.1324894062,352.9941301104,0.29225433114522,135924.11536089,1010.3066350522,352.78925287982,0.29220395454255,139607.2992951,1010.340839939,352.74901183652,0.29219405991556,152072.16208077,1010.4391792171,352.63331856817,0.29216562732634,145304.208535,1010.4801707368,352.58509325084,0.29215379947041,140928.03450344,1010.5021760307,352.55920466973,0.29214740405919,143549.75303714,1010.5240680952,352.53344929971,0.29214111837224,150703.92279394,1010.6206820789,352.41978578957,0.29211321133018
668.60112678467,360.14551646313,353.10000031368,352.42008966881,360.38356031802,0.18001545815705,0.18001547993585,108163.46041662,1004.019547368,360.18582662593,0.2940339997903,153166.08227007,13576.613846286,1010.3612153796,352.72504072993,0.29218808363638,149822.73244179,1010.5634906478,352.48706982609,0.29212978646469,149802.41091337,1010.5867223185,352.45973844879,0.29212307432424,108183.21037666,1003.9930133062,360.21704316918,0.29404174627908,148054.21530305,1010.6205359291,352.41995773051,0.48987161934714,130624.88390445,1003.8514730832,360.38356107864,0.49317492850817,129221.60497614,1003.8515013636,360.38352780751,0.4931748981513,126886.50323487,1003.8620991087,360.37105987214,0.29407999760586,123558.53128376,1003.8853807596,360.34366969464,0.29407319480432,110113.80644475,1003.9759574549,360.23710887664,0.29404672957857,106044.41697344,1004.0303800303,360.17308231732,0.29403055534636,103280.53826866,1004.0538812499,360.14543382366,0.29402369003774,102611.33311456,1010.0552976866,353.08494389815,0.13400250327719,102543.25107968,1010.0425000075,353.09999999117,0.29228042351621,103804.61672541,1010.0583645228,353.08133585552,0.29227584684848,107074.51875499,1010.0818147644,353.05374733597,0.29226902806881,111784.029403,1010.1324892821,352.9941302564,0.29225439110474,135924.17345359,1010.3066325823,352.7892557855,0.29220401545141,139607.35712575,1010.3408377774,352.74901437952,0.29219412159953,152072.21937502,1010.439122436,352.63338536936,0.29216570575992,145304.26620223,1010.4800828053,352.58519669964,0.29215388352063,140928.09213239,1010.502084066,352.55931286357,0.29214749686256,143549.81037268,1010.5239423132,352.53359727855,0.29214121277057,150703.97882384,1010.6204770327,352.42002702032,0.29211333060316
674.46264364344,360.14596460198,353.09999983257,352.42029398719,360.38380637755,0.1800154897939,0.18001550827118,108163.51958639,1004.0191201242,360.1863292656,0.29403413540761,153166.1395709,13576.613846286,1010.3612051484,352.72505276654,0.29218814935189,149822.78851693,1010.563352654,352.48723217176,0.29212988362171,149802.46700364,1010.5865357676,352.45995792043,0.29212316963162,108183.26952765,1003.9926115413,360.21751583372,0.29404189398955,148054.27058832,1010.6203622761,352.42016202814,0.48987178956715,130624.9384733,1003.8512641279,360.38380690841,0.4931751084022,129221.65951228,1003.8512926593,360.383773342,0.49317506937995,126886.55771386,1003.8619147765,360.37127673354,0.2940801046604,123558.58638934,1003.8851379426,360.3439553616,0.29407330269686,110113.8649885,1003.9756019814,360.23752708068,0.29404687320097,106044.47592553,1004.0300914328,360.17342184375,0.29403073102582,103280.59786435,1004.0535263388,360.14585136613,0.29402391383636,102611.39112475,1010.0552999618,353.08494122138,0.13400253163612,102543.30905903,1010.0425001143,353.09999986556,0.29228048668057,103804.67430581,1010.0583585864,353.08134283948,0.29227591388567,107074.57630722,1010.0817887021,353.05377799752,0.29226908415716,111784.08684151,1010.1325237895,352.99408965939,0.29225445559914,135924.2310121,1010.3066297953,352.78925906434,0.2922040786469,139607.41441227,1010.340818989,352.74903648349,0.2921941819294,152072.2761806,1010.4390678079,352.63344963777,0.29216578031089,145304.32337695,1010.480005179,352.58528802466,0.2921539692571,140928.14926544,1010.5019697519,352.55944735073,0.29214757643231,143549.86715349,1010.5238724888,352.53367942491,0.29214130186067,150704.03458039,1010.6203097531,352.42022381986,0.29211343537719
680.33304158835,360.14655193023,353.10000034123,352.42051617098,360.38403917356,0.180015525317,0.18001554448748,108163.57851236,1004.018740655,360.1867757,0.29403432261416,153166.1973818,13576.613846286,1010.3611915132,352.72506880803,0.29218820796235,149822.84509358,1010.5632198192,352.48738844797,0.29212997543476,149802.52358976,1010.5864165567,352.46009816864,0.2921232735493,108183.32845071,1003.9922888017,360.21789552737,0.29404205238462,148054.32634346,1010.620173029,352.42038467179,0.48987197807358,130624.99334024,1003.8510665041,360.38403940688,0.49317530476844,129221.714293,1003.8510935036,360.38400764278,0.4931752735859,126886.61234359,1003.8616769041,360.37155658342,0.29408022738972,123558.64173136,1003.8849089663,360.34422474558,0.29407343819616,110113.92334787,1003.9752538524,360.23793664428,0.29404702511508,106044.53482448,1004.0295370714,360.1740740337,0.29403091140867,103280.65792532,1004.0530165207,360.14645115207,0.29402406149374,102611.44964868,1010.0553008597,353.08494016503,0.13400255745633,102543.36755589,1010.0424999669,353.10000003897,0.29228054275966,103804.73244139,1010.0583656803,353.08133449373,0.2922759651285,107074.63446461,1010.0818177694,353.05374380071,0.29226914627842,111784.14504932,1010.1324875805,352.99413225819,0.29225450848161,135924.28905112,1010.3066273925,352.78926189115,0.29220413518901,139607.47220867,1010.3408297568,352.74902381557,0.29219424086034,152072.33352356,1010.4390206992,352.63350505974,0.29216585161647,145304.38107387,1010.4799304514,352.58537593954,0.29215404196562,140928.20692691,1010.5019074908,352.55952059906,0.2921476622934,143549.92460703,1010.5237349695,352.5338412124,0.29214138723194,150704.09086214,1010.620118359,352.4204489894,0.29211354397092
