time,DHX_Shell_Tin,DHX_Shell_Tout,DHX_Shell_energychange,DHX_Tube_energychange,DHX_m_dot_in,Heater_Tin,Heater_Tout,Heater_energychange,Heater_m_dot_in,Branch-to-tank:pressure,Branch-to-tank:rho,Branch-to-tank:temperature,Branch-to-tank:velocity,Branch-to-tankP:pressure,Branch-to-tankP:rho,Branch-to-tankP:temperature,Branch-to-tankP:velocity,SNJ-17b-18:pressure,SNJ-17b-18:rho,SNJ-17b-18:temperature,SNJ-17b-18:velocity,SNJ-17b-19:pressure,SNJ-17b-19:rho,SNJ-17b-19:temperature,SNJ-17b-19:velocity,SNJ-26-to-5a:pressure,SNJ-26-to-5a:rho,SNJ-26-to-5a:temperature,SNJ-26-to-5a:velocity,SNJ-34-to-35a:pressure,SNJ-34-to-35a:rho,SNJ-34-to-35a:temperature,SNJ-34-to-35a:velocity,SNJ-35b-35b2:pressure,SNJ-35b-35b2:rho,SNJ-35b-35b2:temperature,SNJ-35b-35b2:velocity,SNJ-500:pressure,SNJ-500:rho,SNJ-500:temperature,SNJ-500:velocity,SNJ-501:pressure,SNJ-501:rho,SNJ-501:temperature,SNJ-501:velocity,SNJ-502:pressure,SNJ-502:rho,SNJ-502:temperature,SNJ-502:velocity,SNJ-503:pressure,SNJ-503:rho,SNJ-503:temperature,SNJ-503:velocity,SNJ-504:pressure,SNJ-504:rho,SNJ-504:temperature,SNJ-504:velocity,SNJ-505:pressure,SNJ-505:rho,SNJ-505:temperature,SNJ-505:velocity,SNJ-520:pressure,SNJ-520:rho,SNJ-520:temperature,SNJ-520:velocity,SNJ-521:pressure,SNJ-521:rho,SNJ-521:temperature,SNJ-521:velocity,SNJ-522:pressure,SNJ-522:rho,SNJ-522:temperature,SNJ-522:velocity,SNJ-523:pressure,SNJ-523:rho,SNJ-523:temperature,SNJ-523:velocity,SNJ-524:pressure,SNJ-524:rho,SNJ-524:temperature,SNJ-524:velocity,SNJ-525:pressure,SNJ-525:rho,SNJ-525:temperature,SNJ-525:velocity,SNJ-526:pressure,SNJ-526:rho,SNJ-526:temperature,SNJ-526:velocity,SNJ-527:pressure,SNJ-527:rho,SNJ-527:temperature,SNJ-527:velocity,SNJ-528:pressure,SNJ-528:rho,SNJ-528:temperature,SNJ-528:velocity,SNJ-529:pressure,SNJ-529:rho,SNJ-529:temperature,SNJ-529:velocity,SNJ-530:pressure,SNJ-530:rho,SNJ-530:temperature,SNJ-530:velocity,SNJ-531:pressure,SNJ-531:rho,SNJ-531:temperature,SNJ-531:velocity,SNJ-532:pressure,SNJ-532:rho,SNJ-532:temperature,SNJ-532:velocity,SNJ-533:pressure,SNJ-533:rho,SNJ-533:temperature,SNJ-533:velocity,SNJ-534:pressure,SNJ-534:rho,SNJ-534:temperature,SNJ-534:velocity,SNJ-535:pressure,SNJ-535:rho,SNJ-535:temperature,SNJ-535:velocity,SNJ-536:pressure,SNJ-536:rho,SNJ-536:temperature,SNJ-536:velocity,SNJ-537:pressure,SNJ-537:rho,SNJ-537:temperature,SNJ-537:velocity,SNJ-538:pressure,SNJ-538:rho,SNJ-538:temperature,SNJ-538:velocity,SNJ-539:pressure,SNJ-539:rho,SNJ-539:temperature,SNJ-539:velocity,SNJ-540:pressure,SNJ-540:rho,SNJ-540:temperature,SNJ-540:velocity,SNJ-541:pressure,SNJ-541:rho,SNJ-541:temperature,SNJ-541:velocity,SNJ-542:pressure,SNJ-542:rho,SNJ-542:temperature,SNJ-542:velocity,SNJ-543:pressure,SNJ-543:rho,SNJ-543:temperature,SNJ-543:velocity,SNJ-544:pressure,SNJ-544:rho,SNJ-544:temperature,SNJ-544:velocity
0,319.4,319.4,0,0,0.06249990425,319.4,319.4,0,0.037768058954375,100000,1038.6875,319.4,0.1,100000,1038.6875,319.4,0.1,100000,1038.6875,319.4,0.1,100000,1038.6875,319.4,0.1,100000,1038.6875,319.4,0.1,100000,1038.6875,319.4,0.1,100000,1038.6875,319.4,0.1,100000,1038.6875,319.4,0.1,100000,1038.6875,319.4,0.1,100000,1038.6875,319.4,0.1,100000,1038.6875,319.4,0.1,100000,1038.6875,319.4,0.1,100000,1038.6875,319.4,0.1,100000,1038.6875,319.4,0.1,100000,1038.6875,319.4,0.1,100000,1038.6875,319.4,0.1,100000,1038.6875,319.4,0.1,100000,1038.6875,319.4,0.1,100000,1038.6875,319.4,0.1,100000,1038.6875,319.4,0.1,100000,1038.6875,319.4,0.1,100000,1038.6875,319.4,0.1,100000,1038.6875,319.4,0.1,100000,1038.6875,319.4,0.1,100000,1038.6875,319.4,0.1,100000,1038.6875,319.4,0.1,100000,1038.6875,319.4,0.1,100000,1038.6875,319.4,0.1,100000,1038.6875,319.4,0.1,100000,1038.6875,319.4,0.1,100000,1038.6875,319.4,0.1,100000,1038.6875,319.4,0.1,100000,1038.6875,319.4,0.1,100000,1038.6875,319.4,0.1,100000,1038.6875,319.4,0.1,100000,1038.6875,319.4,0.1,100000,1038.6875,319.4,0.1,100000,1038.6875,319.4,0.1
5,319.23824806436,319.25261618812,-16.002109585141,-1.4299539973326,0.015087642866355,319.50265972062,331.01655269308,878.04610311978,0.018485315171689,101016.57765159,1038.7203043966,319.36140659221,0.023855839405699,101016.43001387,1038.7186777518,319.363320292,0.031048210446719,139253.5306192,1038.7910145426,319.27821818516,0.029188051422381,139252.38221335,1038.7910832513,319.27813735142,0.029189933258503,101021.01785374,1038.8200048438,319.24411194851,0.029312011298144,101022.9015872,1038.7203709579,319.36132828485,0.02385232054553,103167.03713479,1038.6874469998,319.40006235317,0.023852336156036,138393.51098239,1038.7336167605,319.3457449877,0.048942175275672,121746.14368821,1028.8143938097,331.01541904736,0.05208979226808,120837.32554588,1031.6703339159,327.65548951075,0.052089773322544,119309.09791522,1036.0439302028,322.51008211436,0.031060198815437,115953.87858599,1038.4195803726,319.71519956165,0.031057965502785,102890.08439715,1038.7108012116,319.37258680989,0.031049768281517,140418.18970261,1038.7908400733,319.27842344312,0.029184502859202,140417.8217789,1038.7910961056,319.27812222869,0.029194299697835,140413.7373427,1038.7910587374,319.27816619134,0.029201006301477,135439.58809794,1038.7910180702,319.2782140351,0.029210725482447,131786.77228571,1038.7910277898,319.27820260019,0.029217902011996,124745.38686896,1038.7923741523,319.27661864441,0.029231705443958,123850.13737003,1038.793333065,319.27549051172,0.029233472559977,120482.97917844,1038.8128406292,319.25254043625,0.029240041809701,108393.11117406,1038.8287963464,319.23376900421,0.029291137163992,106137.31537129,1038.8285414003,319.23406894078,0.029297176735137,102770.07334544,1038.8262459341,319.23676948933,0.029306122844066,152449.85203225,1038.6991695478,319.38627112026,0.020268496588787,140319.27949506,1038.7064488965,319.37770718059,0.020265041075749,138440.52737285,1038.6907999927,319.39611765564,0.023817004673478,136974.76947087,1038.7122529862,319.37087883973,0.023816079223547,133616.95408605,1038.7204371854,319.36125037006,0.02381396939107,131646.46979168,1038.7211265283,319.36043937851,0.023812431918154,101044.38396266,1038.6871888988,319.40036600142,0.010935775691688,105214.12136846,1038.6874773224,319.40002667952,0.023852335554553,106981.84064912,1038.7145146937,319.36821800745,0.023851029688571,109868.21903039,1038.7202707592,319.36144616563,0.023848932953207,127961.14127824,1038.7206846417,319.36095924505,0.023837666194493,131618.44696338,1038.7207661792,319.36086331855,0.023835370756005,134340.46319547,1038.7208710844,319.36073990066,0.023833228372434,153583.46579022,1038.720847997,319.36076706234,0.023821079603297
10,319.07706550607,319.11571158545,-14.233018451405,-2.4494278538712,0.0038399266901696,319.26510452176,342.35954479479,1202.7892849161,0.019966570644993,101018.93250277,1038.7522189761,319.32386002807,0.0060969386512692,101018.39878945,1038.740805723,319.33728738465,0.033383036289521,139167.81520053,1038.8940563588,319.15699251909,0.031523970893812,139168.12473044,1038.8939841353,319.15707748794,0.031525848550463,101017.22898663,1038.925711479,319.11975120117,0.031643834649829,101020.59235615,1038.7529004887,319.32305824865,0.0060934753910467,103141.92532887,1038.6875021354,319.39999748774,0.0060934677717462,138300.14855222,1038.8211585996,319.2427545887,0.052859529052702,121746.87697781,1019.1727518108,342.3585272814,0.056006965348768,120845.4201624,1022.2253843864,338.76719483953,0.056006932834308,119325.81189893,1029.5184649579,330.18710004957,0.033395577656764,115977.43151125,1036.8415745092,321.57167704804,0.033392892774929,102895.69985447,1038.7116408833,319.37159896083,0.033384585577794,140329.46974696,1038.8940897089,319.15695328364,0.031520447751608,140337.60864939,1038.893913678,319.15716037877,0.031530190304244,140338.70973965,1038.8939140039,319.15715999545,0.031536861272152,135371.90729887,1038.8939261293,319.1571457302,0.031546527574483,131726.25544537,1038.8940704982,319.15697588447,0.031553660770011,124698.21559514,1038.8998053365,319.15022901587,0.031567370830489,123806.16679341,1038.9031416075,319.14630399119,0.031569138841719,120443.74697845,1038.9290970942,319.11576812448,0.031575673679931,108376.35117162,1038.9679813237,319.07002197206,0.031623115882577,106125.60404132,1038.966379392,319.07190659761,0.031629113563346,102763.03311429,1038.9550583417,319.08522548036,0.031638011798188,152459.36215542,1038.7043855041,319.38013470102,0.005158471406552,140351.26248193,1038.7419326436,319.33596159579,0.0051522505194028,138474.05736281,1038.6928897217,319.39365915096,0.0060553147655679,137015.26139074,1038.740868751,319.33721323416,0.0060544132600013,133653.71045387,1038.7523123489,319.32375017771,0.0060523330715137,131680.86653078,1038.7534141035,319.32245399587,0.0060508262662988,101022.55013531,1038.6868429399,319.40077301187,0.0027937222269592,105246.67645815,1038.6874872952,319.40001494681,0.0060934681146464,107022.40842933,1038.7447483378,319.33264901432,0.0060921990812556,109905.90777488,1038.7525794796,319.32343590633,0.0060901289648564,127984.51345064,1038.7528940196,319.32306585929,0.0060789927651693,131649.27756557,1038.7531098428,319.32281194967,0.0060767312768155,134368.04181299,1038.7532998371,319.32258842698,0.0060746203751043,153592.16897965,1038.7534810309,319.32237525776,0.0060626255247383
17.5,318.85934070616,318.92619169848,-11.515329175094,-3.5089408658253,0.00081271237035356,319.02684531257,355.50006124347,1918.4696379508,0.028075450334758,101018.95088211,1038.7965177478,319.27174382606,0.0013173448969205,101017.86703393,1038.6655345357,319.42584172272,0.046173382349077,139078.46613802,1039.0473432497,318.97665500031,0.044317917419796,139079.00600808,1039.0473497655,318.97664733467,0.044319776784887,101015.8166078,1038.945247725,319.0967673823,0.044433139807272,101019.24871238,1038.8026580053,319.26451999379,0.0013138880860052,103138.69910673,1038.6881123491,319.39927958935,0.0013138870114072,138193.94791444,1038.9899148438,319.04421783081,0.07431491703398,121669.57938982,1008.0037404274,355.49854067363,0.077462962267629,120772.20836049,1009.8132186913,353.36974271607,0.07746283154737,119262.02495256,1015.649351763,346.50370380827,0.046188974204688,115951.55196286,1027.2952167783,332.80268614319,0.046184706768245,102895.53688717,1038.5494953855,319.56235836999,0.046174939709266,140237.26362454,1039.0472620199,318.97675056486,0.04431441867817,140252.97724242,1039.0473745008,318.97661823436,0.044324086987392,140254.89785147,1039.0475448935,318.97641777234,0.044330709006093,135290.76564246,1039.0484847722,318.97531203274,0.044340304775083,131657.68371594,1039.0508241717,318.97255979801,0.044347386752598,124653.41991456,1039.0700896839,318.94989448952,0.04436099715,123774.04160338,1039.074858949,318.94428358943,0.044362746634748,120412.18262896,1039.0902317942,318.92619788915,0.044369226840486,108360.14740287,1039.149628867,318.85631897995,0.04441253576557,106122.18566693,1039.1248091599,318.88551863545,0.044418479923058,102760.30706371,1039.0448747015,318.97955917468,0.044427323954778,152463.84418603,1038.7050865799,319.37930990605,0.0010917800906415,140361.07462909,1038.8173626851,319.24722037045,0.0010824941306055,138484.4558837,1038.6907669113,319.39615657495,0.0012722342740766,137026.34255969,1038.7820520453,319.2887622996,0.0012713431257892,133663.66106478,1038.7955297802,319.27290614093,0.0012692851295901,131690.11885352,1038.7953691362,319.27309513385,0.0012678012681968,101019.59796102,1038.6878436709,319.39959568131,0.00060238829324387,105256.74584535,1038.68811086,319.39928134121,0.0013138869635413,107033.24777417,1038.7910370787,319.27819167217,0.001312613097316,109915.95144241,1038.8008620221,319.26663291519,0.0013105480912334,127991.03848728,1038.8010527582,319.26640851976,0.0012994525361921,131658.18267347,1038.7997660591,319.2679222834,0.0012972001101659,134376.21166628,1038.7996874087,319.26801481332,0.0012950961782159,153596.3066836,1038.7989752741,319.26885261871,0.0012831383304363
28.75,319.31858776522,318.68133605501,-41.49199439738,-3.1590177970162,9.5991036879107e-05,318.75520270001,360.37268456322,2480.2312990244,0.035396720902256,101018.9518321,1039.0791859754,318.93919297006,0.00018583291567524,101016.51203323,1035.3153129626,323.36727886755,0.057709623208457,138979.47431291,1039.279056053,318.70405170234,0.055860842827485,138980.04728225,1039.2764184483,318.70715476667,0.055862600978401,101014.48630898,1037.0508792696,321.3254361534,0.055977432710109,101019.00045203,1039.3332634026,318.64027834986,0.00018248074642562,103138.10783377,1039.0072525801,319.02382049402,0.00018234922919544,138077.86705159,1039.23074772,318.76088503526,0.093672399278772,121500.36265199,1003.8607942628,360.37259498499,0.096820783860973,120600.07470452,1004.2542409301,359.9097165528,0.096821469664576,119089.41936029,1006.0423968268,357.80600373322,0.0577323121967,115819.19912263,1012.5971628228,350.09451432617,0.05772645595836,102886.86825102,1033.7841471384,325.16865042543,0.057711515543972,140135.37314329,1039.2744105499,318.70951700017,0.055857316629934,140158.86010787,1039.2760325325,318.7076087853,0.055866897482429,140160.8984738,1039.2797486748,318.70323685315,0.055873491206954,135198.46610974,1039.2840747424,318.69814736184,0.0558829124698,131578.17610671,1039.2887548782,318.69264131971,0.055889952359918,124600.20665455,1039.2958641889,318.68427742487,0.05590326173741,123735.13358615,1039.3006348502,318.67866488207,0.055905007779802,120373.14831646,1039.2980090673,318.68175403845,0.055911294114406,108335.71406705,1038.7311270378,319.34867407313,0.05595530962164,106113.26861205,1038.4148858093,319.72072257729,0.055961581774571,102755.21756495,1037.7091114034,320.55104540779,0.055970872058446,152467.32290894,1038.5982835096,319.50496057699,0.00012899778180493,140365.04032445,1038.6393707782,319.45662261388,0.00012050528654262,138488.58699381,1038.4696507352,319.65629325272,0.00014166364638186,137030.52016315,1038.5589083849,319.55128425305,0.00014081978706171,133667.42473908,1038.4882794333,319.63437713726,0.00013881636974959,131693.64049228,1038.3946137723,319.74457203255,0.00013739258353827,101019.05548274,1039.0886060862,318.92811048687,8.3636861573798e-05,105257.1365624,1039.0070760909,319.02402812841,0.00018234903024256,107033.89083123,1039.1257285008,318.8844370579,0.00018103038780975,109916.6201536,1039.0890640876,318.92757166165,0.00017894225788252,127992.17894547,1039.0424099769,318.98245885068,0.00016786351487438,131661.0498835,1038.975784651,319.06084158701,0.00016560489115345,134379.11755326,1038.9140028274,319.13352608541,0.00016350195629093,153599.68788154,1038.8387168023,319.22209787969,0.00015159482582244
45.625,325.05346321841,318.97573741802,-315.33995456572,13.309080353377,0.00067739982442598,318.39034293918,357.72378814507,2510.3725353045,0.038163804906101,101018.95181914,1038.9776964716,319.05859238632,0.001103342617547,101011.98941419,1024.0379532326,336.63476090284,0.062049892929669,138874.21864094,1039.5744095722,318.35657697391,0.060209162869066,138874.75763886,1039.5708038515,318.36081899828,0.060210973453244,101010.51489006,1028.0645791579,331.89755393183,0.060385263859028,101018.86388165,1038.9833547499,319.05193558836,0.0010999244055276,103137.87136826,1038.6872586603,319.40028392902,0.0010999258156065,137965.37273692,1039.5448897111,318.39130622229,0.10096457396221,121335.65775674,1006.1122700407,357.72379995211,0.10411265474317,120430.2015309,1006.0105812659,357.84343380485,0.10411265777358,118912.99866643,1005.9333888995,357.93424835348,0.062080118683317,115651.74638519,1006.9275485354,356.76464878191,0.062073821904956,102860.41593669,1021.2380206457,339.92879924034,0.06205299771703,140029.16436032,1039.5807243858,318.34914778146,0.060205768683427,140055.78646383,1039.5610760911,318.37226342222,0.060215158707808,140057.70004016,1039.5403231356,318.39667866397,0.060221595015913,135095.10496876,1039.4930308886,318.45231660169,0.060230937903808,131479.77556662,1039.4378791252,318.51720102916,0.060237855087829,124513.15943984,1039.2495041576,318.73881863814,0.060251243128537,123654.27199942,1039.21355195,318.78111535294,0.060252980013297,120292.91486064,1039.0481165585,318.97574522524,0.060259445804393,108278.95186246,1033.7565629588,325.20110240135,0.060354980529739,106072.93012411,1032.4243075564,326.76846169834,0.06036305161991,102737.06318516,1029.9909300985,329.63125870768,0.060376004844028,152468.37106538,1038.7292569597,319.35087416502,0.00090998144471465,140369.98936946,1037.1602498107,321.19676492853,0.00094058920764308,138493.52945801,1038.6588438923,319.43371306792,0.0011054489268386,137035.14998298,1038.9653927274,319.07306737948,0.0011045554199261,133671.650681,1038.9847941503,319.05024217615,0.0011025070630671,131697.59992247,1038.9869460193,319.04771056552,0.0011010284432081,101018.8347274,1038.6867466197,319.40088632975,0.00050429106214896,105256.16530566,1038.6874033864,319.40011366304,0.0010999258432786,107032.83430666,1038.9642626658,319.07439686374,0.0010986636308145,109915.80686184,1038.9816736493,319.05391335374,0.001096616892964,127992.81506471,1038.9827889958,319.05260118137,0.0010856326948049,131660.52840033,1038.9842110497,319.05092817687,0.0010834010622945,134378.79804141,1038.9844907785,319.05059908414,0.0010813184919869,153600.91398948,1038.9853990895,319.04953048291,0.0010694809953709
70.9375,337.23214972671,322.06700091148,-745.0465517518,92.488906916886,0.0042030475657347,318.42756421538,357.70467046643,2388.000237845,0.035697291959098,101018.94243216,1039.1445660021,318.86227529165,0.0067705904254246,101004.06701629,1013.1179229506,349.48185535221,0.058156802716167,138741.86470572,1039.4342998945,318.52141188887,0.056319749437678,138742.32731306,1039.3900190099,318.57350704722,0.056321576685727,101003.08786448,1016.5201327697,345.47925556503,0.056655572348324,101018.39101661,1039.1446243119,318.86220669188,0.0066646219621203,103137.29042386,1038.6880217352,319.39938619389,0.0066646240767144,137839.63856696,1039.514574442,318.42697124474,0.094442024186564,121227.59019656,1006.1285303946,357.704670124,0.097590094008376,120325.08349122,1006.1260760324,357.70755760889,0.097590092625268,118812.49054416,1006.1561021016,357.67223282166,0.058190685097253,115552.08843939,1006.2850282765,357.52055496878,0.05818438821418,102833.31568743,1011.3342874714,351.5802500337,0.058160887204517,139898.04816723,1039.5104450885,318.43182930767,0.056316334500436,139921.14895761,1039.2761249927,318.7075000086,0.056325818879317,139922.7837044,1039.0659538976,318.9547601205,0.056332398394437,134961.79228449,1038.6677469629,319.42323886722,0.056342097049472,131343.72727394,1038.2844544956,319.87417118164,0.056349418842955,124375.94896577,1037.2660279379,321.07232007303,0.056364029875698,123512.65323472,1037.1024603152,321.26475257039,0.056365974104667,120158.48108679,1036.4205630809,322.06698461073,0.056373335065944,108200.92335345,1023.318295658,337.48141687292,0.056611065714036,106010.81312642,1021.4374274862,339.69420295741,0.056623061929482,102710.97330817,1018.498441522,343.15183350349,0.056642155237796,152449.36464832,1038.937858649,319.1054604129,0.0056450086335651,140370.12494566,1032.1034168917,327.14598012739,0.0057804071682225,138499.06441554,1036.6742733125,321.76850198531,0.0067935733882908,137041.31075342,1038.0429245893,320.15832401261,0.0067926082136271,133678.78214616,1038.9895477503,319.04464970555,0.0067905273388932,131704.40221185,1039.1054393534,318.9083066431,0.0067890576889712,101018.2890033,1038.6867226629,319.40091451425,0.003055584817262,105240.12954487,1038.6875150748,319.39998226492,0.0066646272885276,107015.06529991,1038.982801399,319.05258658942,0.0066633570753758,109898.15086398,1039.1208242234,318.89020679605,0.0066613253259725,127976.4318482,1039.1445210074,318.86232822661,0.0066504416467419,131640.7480199,1039.1447847895,318.86201789465,0.0066482326116957,134359.1973457,1039.144955215,318.86181739409,0.006646168674553,153582.9629471,1039.1446072195,318.86222680057,0.006634441920484
96.25,346.40201007303,326.4156550357,-939.09039834259,260.04873370659,0.0098954097005043,319.38828292766,360.63020275941,2332.3872706485,0.032796751614763,101018.87692253,1039.3035571649,318.6752268648,0.01587857009188,100997.67578428,1008.2044279216,355.26243773926,0.053619707163506,138615.15293566,1038.4208685734,319.71368403127,0.051784683186074,138615.56208972,1038.3064082645,319.84834321827,0.05178661769763,100996.86634724,1010.3296231435,352.76220806643,0.052284077323349,101017.36329055,1039.3045591905,318.67404801117,0.015645391604463,103136.177706,1038.6892173693,319.39797956553,0.015645390297297,137721.27093505,1038.6982773149,319.38732080605,0.086836441538867,121157.21650315,1003.6418411996,360.63018682395,0.089984655663448,120260.35149564,1003.7369980517,360.51823758622,0.089984654170993,118756.55433526,1004.0405821744,360.16107979485,0.053655385822753,115502.67002178,1004.6168593525,359.48310664412,0.053648839575821,102818.76207922,1007.3279060041,356.29363999521,0.053624160378962,139771.68799439,1038.6219649112,319.47710010442,0.05178107681485,139791.02393925,1038.0202892184,320.18495386072,0.051791151237751,139792.45612188,1037.518739741,320.7750120694,0.051798267285803,134838.53917551,1036.6424185551,321.80597817044,0.051808961102767,131221.07700019,1035.86889988,322.71600014116,0.051817200183211,124260.01796885,1034.0480369731,324.85819179631,0.051834056869781,123392.80639309,1033.780495151,325.17294688113,0.051836339602073,120049.63978032,1032.7242462705,326.41559262297,0.051845043923164,108151.31278162,1015.5100381543,346.6676021714,0.052230506884987,105971.32130879,1013.9324709551,348.52356358226,0.052245315246724,102694.36959619,1011.69543471,351.1553709294,0.052268344810753,152407.96384709,1039.2260015499,318.76646876484,0.013286593288693,140341.45838352,1027.6344656919,332.40356977426,0.01353096018575,138479.3032938,1030.7276035017,328.76458411568,0.015902607479621,137026.04783331,1032.8147859413,326.30907536323,0.015901342583277,133676.15845104,1036.2309434496,322.29006652992,0.015898780868033,131705.46667492,1037.5784946876,320.70471213227,0.015897129318183,101017.26970045,1038.6904201935,319.39656447823,0.0071730705667652,105211.06733854,1038.6875052582,319.39999381391,0.015645416504468,106981.47868366,1038.823749897,319.23970600349,0.015644138258179,109863.78921684,1039.0615406164,318.95995221601,0.015642089675523,127940.79958203,1039.3017703623,318.67732898553,0.015631269777414,131599.93220006,1039.3038856818,318.67484037435,0.015629080429878,134318.39625114,1039.3046016109,318.67399810478,0.015627033729572,153543.03799486,1039.3045984855,318.67400178172,0.015615412277422
108.90625,349.95624519673,328.65979111436,-988.13315244766,368.97632505024,0.012932698508217,320.11541685564,362.41559855184,2317.1019648133,0.031616107817326,101018.81475859,1039.3819582017,318.58299035098,0.020732578625012,100994.94371433,1006.6443702858,357.09779966381,0.051784512405656,138553.20205545,1037.6885166584,320.57527451952,0.049950476915821,138553.59133939,1037.5340930516,320.75694935104,0.049952476274144,100994.17137416,1008.2860789493,355.16637770676,0.050530571606328,101016.66962236,1039.3842250446,318.58032347694,0.020436278994735,103135.47236084,1038.6902915959,319.3967157695,0.020436283753222,137662.9528019,1038.0802813075,320.11437493239,0.083760268439226,121125.09048145,1002.1242429471,362.41559653285,0.086908597377693,120230.92359014,1002.2458455401,362.2725346587,0.086908614421409,118731.38694691,1002.6351377265,361.81454385113,0.051821047777638,115481.88150522,1003.4196567294,360.8915803184,0.051814327753327,102813.43323196,1006.031159726,357.8192238518,0.051789097480797,139709.49679197,1037.9616146348,320.25398278261,0.049946729176592,139727.35209599,1037.1520136255,321.20645455829,0.049957215521009,139728.70779352,1036.4934293364,321.9812596042,0.049964687357152,134779.71712659,1035.3756714773,323.29626885027,0.049976026577939,131164.09397333,1034.4208941343,324.41953631259,0.049984827726621,124209.26947876,1032.2817062745,326.93622791237,0.050002990062499,123340.99198194,1031.9793141453,327.29198335849,0.050005460306643,120003.71593898,1030.816726092,328.65973400942,0.050014888164447,108133.03981612,1012.492410603,350.21775223177,0.050473700516684,105956.96985775,1011.1659058848,351.77834601783,0.050489583581216,102688.18136337,1009.3563573013,353.90722670437,0.0505140394426,152380.49832168,1039.3369469448,318.63594477085,0.017362915553402,140316.48059077,1025.8433867871,334.51072142693,0.017662031838355,138457.96119634,1027.8213189611,332.18374239868,0.020757759222292,137006.66224369,1029.583090505,330.11106999416,0.020756326367512,133666.51366962,1033.5605245809,325.43173578714,0.020753377198998,131699.97779788,1035.7091902612,322.90389381032,0.02075151601228,101016.63397923,1038.6933909814,319.39306943366,0.0093695894733367,105192.57590976,1038.6875056109,319.39999339891,0.020436337011929,106959.71916925,1038.7713229211,319.3013847987,0.020435052306,109841.46668163,1038.9768730532,319.05956111385,0.02043298142959,127916.80465474,1039.3769075015,318.5889323512,0.020422105082385,131572.8588332,1039.3817432525,318.58324323233,0.020419904947136,134291.30328303,1039.3840361822,318.58054566795,0.02041786199649,153516.31466858,1039.3847184407,318.57974301092,0.02040621493478
121.5625,352.57169085662,330.79967329452,-1012.2465978235,484.06754326175,0.016141505379562,321.10336143823,364.24664026268,2312.8012336974,0.030843543822227,101018.73155418,1039.4528333511,318.49960782222,0.025854894266056,100992.64310431,1005.443175137,358.51097042709,0.050602472775153,138493.83665617,1036.7267844815,321.70672413946,0.048769640836067,138494.21113594,1036.5310668107,321.93698022268,0.048771765716633,100991.88224311,1006.8464174477,356.8600971204,0.049427358903498,101015.81050475,1039.4617725144,318.48909115953,0.025497063323826,103134.6169028,1038.695205635,319.390934547,0.025497060119091,137606.49741776,1037.2404448736,321.10241779571,0.081779683802245,121093.79222454,1000.5678591855,364.24663625231,0.084928144838293,120201.89447629,1000.6963140183,364.09551291964,0.084928141204705,118705.98803767,1001.1170158282,363.60056961392,0.050639970894754,115461.32997153,1002.0098099678,362.55022356727,0.050633047346124,102809.03817746,1004.9150933561,359.13224311044,0.050607173077567,139649.43988152,1037.0764154925,321.29539353823,0.048765703545943,139666.29508006,1036.0514833872,322.50119601502,0.048776770802967,139667.59449199,1035.2420595092,323.45345940097,0.048784710928809,134724.74452207,1033.912478726,325.01767208702,0.048796814265694,131112.39889078,1032.8182525042,326.30499705384,0.048806261125052,124166.17597459,1030.4937302845,329.0397290771,0.048825791033227,123297.73815606,1030.1791931396,329.4097727769,0.048828444758623,119966.26477426,1028.9977840445,330.79966583003,0.048838564710406,108119.42073467,1010.280402704,352.82011446589,0.049368094620494,105946.44902774,1009.1944649849,354.09768825303,0.04938477534114,102683.42489366,1007.724537857,355.82701428585,0.049410253455697,152346.85454693,1039.4298456909,318.52665212837,0.02166899231619,140279.97088536,1024.6315079899,335.93646118832,0.022021807645987,138423.67934144,1025.7208825293,334.65484408316,0.025881705071895,136972.7402893,1026.8442220082,333.33326822567,0.025880137110467,133642.68839943,1030.1733989937,329.41658941912,0.025876789174796,131682.19991611,1032.6356589724,326.51981297368,0.025874636561208,101015.8586962,1038.7069945868,319.37706519204,0.0116898478911,105170.75508668,1038.6875047308,319.39999443437,0.02549725073369,106933.77646879,1038.7468268766,319.33020367456,0.025495949370251,109814.90411621,1038.8911238774,319.16044249723,0.025493864610896,127887.39143368,1039.4385937596,318.51636028278,0.025482921557542,131539.81694634,1039.4532798758,318.49908249911,0.025480731345901,134258.19603136,1039.4595727833,318.49167907851,0.025478687123354,153483.43431159,1039.4647623075,318.48557375585,0.025467041153731
